datafrae,lizard,year,average_dist
distinct(),100,2018,18.06162889
distinct(),2,2018,12.75659646
distinct(),4,2018,6.201208166
distinct(),7,2018,16.88469804
distinct(),9,2018,48.51018792
distinct(),12,2018,42.34583963
distinct(),13,2018,24.41104245
distinct(),16,2018,39.16721376
distinct(),19,2018,36.92819567
distinct(),20,2018,9.732235319
distinct(),22,2018,28.86838044
distinct(),23,2018,38.57316866
distinct(),25,2018,104.7724553
distinct(),26,2018,15.99966125
distinct(),30,2018,16.63500155
distinct(),31,2018,36.70756182
distinct(),35,2018,33.83391723
distinct(),39,2018,29.85430206
distinct(),40,2018,53.33257943
distinct(),44,2018,40.55198057
distinct(),47,2018,19.43869101
distinct(),56,2018,50.58468126
distinct(),64,2018,45.66965992
distinct(),80,2018,33.98975379
distinct(),93,2018,15.22147909
distinct(),99,2018,8.938171684
distinct(),130,2018,55.05803136
distinct(),176,2018,27.38338574
distinct(),200,2018,26.20160664
distinct(),381,2017,33.31261547
distinct(),439,2017,53.05352695
distinct(),460,2017,17.97411954
distinct(),480,2017,17.25584729
distinct(),540,2017,34.41434207
distinct(),620,2017,32.06782132
distinct(),640,2017,30.20132755
distinct(),740,2017,12.32713827
distinct(),760,2017,30.23670572
distinct(),780,2017,63.06905352
distinct(),800,2017,31.90555281
distinct(),841,2017,4.596162411
distinct(),901,2017,12.40166115
distinct(),919,2017,27.98636793
distinct(),941,2017,79.11693615
distinct(),960,2017,21.3156444
distinct(),980,2017,40.68683016
distinct(),1337,2018,83.92446367
distinct(),12B,2018,28.47259804
distinct(),a,2016,23.79204651
distinct(),ab,2016,19.04780798
distinct(),ac,2016,14.41653318
distinct(),b,2016,11.76686769
distinct(),c,2016,45.51764811
distinct(),d,2016,38.5695393
distinct(),f,2016,9.996263907
distinct(),g,2016,27.54070831
distinct(),i,2016,5.521162032
distinct(),j,2016,8.065838987
distinct(),k,2016,43.06330001
distinct(),l,2016,42.97011138
distinct(),m,2016,17.02084289
distinct(),n,2016,14.74031914
distinct(),o,2016,24.4453332
distinct(),p,2016,30.7616677
distinct(),r,2016,12.78680616
distinct(),s,2016,15.31681142
distinct(),t,2016,28.99360454
distinct(),u,2016,9.014126132
distinct(),v,2016,12.04779634
distinct(),w,2016,28.40486507
distinct(),x,2016,12.06575266
distinct(),z,2016,45.24824613
